iter	Passed	Remaining
0	60	60579
1	61	30596
2	62	20729
3	63	15796
4	63	12728
5	64	10657
6	64	9216
7	65	8108
8	65	7245
9	66	6550
10	66	5980
11	66	5505
12	67	5102
13	67	4756
14	67	4456
15	68	4195
16	68	3968
17	69	3786
18	70	3620
19	70	3469
20	71	3320
21	71	3185
22	72	3061
23	72	2952
24	73	2854
25	73	2754
26	74	2671
27	74	2595
28	75	2526
29	76	2459
30	76	2398
31	77	2341
32	78	2288
33	78	2236
34	79	2185
35	79	2134
36	80	2084
37	80	2038
38	80	1994
39	81	1952
40	81	1913
41	82	1875
42	82	1839
43	83	1807
44	83	1777
45	84	1747
46	84	1717
47	85	1688
48	85	1661
49	86	1636
50	86	1611
51	87	1586
52	87	1563
53	88	1541
54	88	1521
55	89	1500
56	89	1477
57	89	1457
58	90	1438
59	90	1420
60	91	1402
61	91	1386
62	92	1369
63	92	1353
64	93	1338
65	93	1325
66	94	1311
67	94	1297
68	95	1284
69	95	1270
70	96	1257
71	96	1245
72	97	1232
73	97	1220
74	97	1208
75	98	1196
76	98	1185
77	99	1174
78	99	1163
79	100	1152
80	100	1142
81	101	1132
82	101	1122
83	102	1112
84	102	1102
85	102	1093
86	103	1083
87	103	1074
88	104	1065
89	104	1057
90	105	1050
91	105	1042
92	106	1035
93	106	1028
94	107	1019
95	107	1010
96	107	1002
97	108	996
98	108	989
99	109	981
100	109	974
101	109	967
102	110	960
103	110	953
104	111	947
105	111	940
106	111	934
107	112	928
108	112	921
109	113	915
110	113	909
111	113	903
112	114	897
113	114	891
114	115	885
115	115	879
116	115	874
117	116	868
118	116	863
119	117	858
120	117	852
121	117	847
122	118	842
123	118	837
124	118	832
125	119	826
126	119	821
127	119	816
128	120	811
129	120	806
130	120	801
131	121	796
132	121	791
133	121	786
134	121	781
135	122	776
136	122	771
137	122	767
138	123	762
139	123	757
140	123	753
141	123	748
142	124	744
143	124	739
144	124	734
145	124	730
146	125	726
147	125	721
148	125	717
149	125	713
150	126	709
151	126	705
152	126	701
153	127	697
154	127	694
155	127	690
156	127	686
157	128	683
158	128	679
159	128	675
160	128	671
161	129	668
162	129	665
163	129	661
164	130	658
165	130	654
166	130	651
167	130	648
168	131	644
169	131	641
170	131	638
171	131	634
172	132	631
173	132	628
174	132	625
175	132	622
176	133	619
177	133	616
178	133	613
179	133	610
180	134	607
181	134	604
182	134	601
183	135	598
184	135	596
185	135	593
186	135	590
187	136	588
188	136	585
189	136	582
190	136	579
191	137	577
192	137	574
193	137	572
194	137	569
195	138	566
196	138	564
197	138	562
198	139	559
199	139	557
200	139	555
201	139	552
202	140	550
203	140	547
204	140	545
205	140	543
206	141	540
207	141	538
208	141	536
209	142	534
210	142	532
211	142	529
212	142	527
213	143	525
214	143	523
215	143	521
216	143	518
217	144	516
218	144	514
219	144	512
220	144	510
221	145	508
222	145	506
223	145	504
224	145	502
225	146	500
226	146	498
227	146	496
228	146	494
229	147	492
230	147	491
231	147	489
232	148	487
233	148	485
234	148	483
235	148	481
236	149	480
237	149	478
238	149	476
239	149	474
240	150	473
241	150	471
242	150	469
243	150	467
244	151	466
245	151	464
246	151	462
247	152	460
248	152	459
249	152	457
250	152	455
251	153	454
252	153	453
253	153	451
254	153	449
255	154	448
256	154	446
257	154	445
258	155	443
259	155	441
260	155	440
261	155	438
262	156	437
263	156	435
264	156	434
265	156	432
266	157	431
267	157	430
268	157	428
269	157	427
270	158	425
271	158	424
272	158	423
273	159	421
274	159	420
275	159	419
276	160	417
277	160	416
278	160	414
279	160	413
280	161	412
281	161	410
282	161	409
283	161	407
284	162	406
285	162	405
286	162	404
287	162	402
288	163	401
289	163	400
290	163	398
291	163	397
292	164	396
293	164	394
294	164	393
295	164	392
296	165	391
297	165	389
298	165	388
299	165	387
300	166	386
301	166	384
302	166	383
303	167	382
304	167	381
305	167	379
306	167	378
307	168	377
308	168	376
309	168	375
310	168	373
311	169	372
312	169	371
313	169	370
314	169	369
315	170	368
316	170	366
317	170	365
318	170	364
319	171	363
320	171	362
321	171	361
322	171	360
323	172	359
324	172	357
325	172	356
326	172	355
327	173	354
328	173	353
329	173	352
330	173	351
331	174	350
332	174	349
333	174	348
334	175	347
335	175	346
336	175	345
337	176	344
338	176	343
339	176	342
340	176	341
341	177	340
342	177	339
343	177	338
344	177	337
345	178	336
346	178	335
347	178	334
348	178	333
349	179	332
350	179	331
351	179	330
352	180	330
353	180	329
354	180	328
355	180	327
356	181	326
357	181	325
358	181	324
359	181	323
360	182	322
361	182	321
362	182	320
363	182	319
364	183	318
365	183	317
366	183	316
367	184	316
368	184	315
369	184	314
370	184	313
371	185	312
372	185	311
373	185	310
374	185	309
375	186	308
376	186	307
377	186	307
378	186	306
379	187	305
380	187	304
381	187	303
382	187	302
383	188	301
384	188	300
385	188	300
386	188	299
387	189	298
388	189	297
389	189	296
390	189	295
391	190	294
392	190	294
393	190	293
394	191	292
395	191	291
396	191	291
397	191	290
398	192	289
399	192	288
400	192	287
401	193	287
402	193	286
403	193	285
404	193	284
405	194	283
406	194	283
407	194	282
408	194	281
409	195	280
410	195	280
411	195	279
412	195	278
413	196	277
414	196	276
415	196	276
416	196	275
417	197	274
418	197	273
419	197	272
420	197	272
421	198	271
422	198	270
423	198	269
424	198	269
425	199	268
426	199	267
427	199	266
428	199	266
429	200	265
430	200	264
431	200	264
432	201	263
433	201	262
434	201	261
435	201	261
436	202	260
437	202	259
438	202	259
439	203	258
440	203	257
441	203	256
442	203	256
443	204	255
444	204	254
445	204	254
446	204	253
447	205	252
448	205	251
449	205	251
450	205	250
451	206	249
452	206	249
453	206	248
454	206	247
455	207	247
456	207	246
457	207	245
458	207	244
459	208	244
460	208	243
461	208	242
462	208	242
463	209	241
464	209	240
465	209	240
466	209	239
467	210	238
468	210	238
469	210	237
470	211	237
471	211	236
472	211	235
473	211	235
474	212	234
475	212	233
476	212	233
477	212	232
478	213	231
479	213	231
480	213	230
481	213	229
482	214	229
483	214	228
484	214	227
